Month,Coconut Oil Price,Coconut Oil Price Change,Olive Oil Price,Olive Oil Price Change,Palm Oil Price,Palm Oil Price Change,Peanut Oil Price,Peanut Oil Price Change,Soybean Oil Price,Soybean Oil Price Change
Aug-92,494,-,"3,490.25",-,382,-,600,-,409,-
Sep-92,501,1.42%,"3,342.78",-4.23%,391,2.36%,562,-6.33%,421,2.93%
Oct-92,493,-1.60%,"2,986.24",-10.67%,396,1.28%,565,0.53%,418,-0.71%
Nov-92,496,0.61%,"2,747.90",-7.98%,413,4.29%,575,1.77%,437,4.55%
Dec-92,461,-7.06%,"2,793.15",1.65%,401,-2.91%,622,8.17%,436,-0.23%
Jan-93,444,-3.69%,"2,757.83",-1.26%,410,2.24%,621,-0.16%,444,1.83%
Feb-93,439,-1.13%,"2,587.66",-6.17%,425,3.66%,611,-1.61%,433,-2.48%
Mar-93,427,-2.73%,"2,628.83",1.59%,408,-4.00%,602,-1.47%,438,1.15%
Apr-93,402,-5.85%,"2,783.90",5.90%,392,-3.92%,623,3.49%,448,2.28%
May-93,418,3.98%,"2,787.13",0.12%,371,-5.36%,685,9.95%,448,0.00%
Jun-93,436,4.31%,"2,721.53",-2.35%,356,-4.04%,712,3.94%,461,2.90%
Jul-93,460,5.50%,"2,694.24",-1.00%,362,1.69%,773,8.57%,505,9.54%
Aug-93,455,-1.09%,"2,685.46",-0.33%,356,-1.66%,858,11.00%,483,-4.36%
Sep-93,424,-6.81%,"2,743.60",2.16%,352,-1.12%,845,-1.52%,489,1.24%
Oct-93,419,-1.18%,"2,706.44",-1.35%,333,-5.40%,807,-4.50%,491,0.41%
Nov-93,464,10.74%,"2,665.22",-1.52%,357,7.21%,808,0.12%,536,9.16%
Dec-93,615,32.54%,"2,681.78",0.62%,411,15.13%,924,14.36%,589,9.89%
Jan-94,595,-3.25%,"2,686.82",0.19%,404,-1.70%,993,7.47%,602,2.21%
Feb-94,573,-3.70%,"2,661.50",-0.94%,387,-4.21%,"1,011.00",1.81%,577,-4.15%
Mar-94,539,-5.93%,"2,683.40",0.82%,395,2.07%,"1,013.00",0.20%,586,1.56%
Apr-94,560,3.90%,"2,668.77",-0.55%,434,9.87%,"1,030.00",1.68%,584,-0.34%
May-94,599,6.96%,"2,705.24",1.37%,488,12.44%,"1,020.00",-0.97%,594,1.71%
Jun-94,608,1.50%,"2,744.46",1.45%,508,4.10%,"1,014.00",-0.59%,571,-3.87%
Jul-94,579,-4.77%,"3,553.91",29.49%,494,-2.76%,"1,017.00",0.30%,560,-1.93%
Aug-94,596,2.94%,"3,548.05",-0.16%,575,16.40%,"1,018.00",0.10%,600,7.14%
Sep-94,622,4.36%,"3,596.26",1.36%,614,6.78%,"1,018.00",0.00%,672,12.00%
Oct-94,621,-0.16%,"3,694.03",2.72%,616,0.33%,"1,029.00",1.08%,642,-4.46%
Nov-94,706,13.69%,"3,656.24",-1.02%,707,14.77%,"1,048.00",1.85%,706,9.97%
Dec-94,692,-1.98%,"3,587.45",-1.88%,719,1.70%,"1,062.00",1.34%,693,-1.84%
